Date,Year,Month,Wheat_Price,Cocoa_Price,Rice_Price,Soybeans_Price,Coffee_Price,Maize_Price,Cotton_Price
2015-02-01,2015,2,201.74206877193,2961.93571359903,409.5,364.739238868421,178.8885,173.758865789474,69.8425
2015-03-01,2015,3,202.691426666667,2878.03316733308,400.727272727273,359.595560386364,160.735909090909,174.293821428571,69.3522727272727
2015-04-01,2015,4,195.931228253968,2868.27445389099,392.409090909091,356.92567725,163.997727272727,172.151577040816,71.7025
2015-05-01,2015,5,193.216571166667,3095.99671499246,382.428571428571,351.94953045,158.482857142857,166.350389464286,72.8631578947368
2015-06-01,2015,6,199.835441666667,3239.8841787899,370.545454545455,354.823054806818,159.755,166.813860714286,72.3522727272727
2015-07-01,2015,7,199.21748,3325.96010781497,387.739130434783,372.347294454545,154.44652173913,179.608530357143,72.3478260869565
2015-08-01,2015,8,173.517591587302,3154.01802015011,375.571428571429,347.02237525,156.923333333333,162.74069914966,71.8225
2015-09-01,2015,9,164.06922015873,3278.45236058649,358.772727272727,323.554524,146.146818181818,166.077623979592,68.7363636363636
2015-10-01,2015,10,165.451481904762,3197.33984142531,360.454545454545,327.419770363636,153.250454545455,171.448573214286,69.0272727272727
2015-11-01,2015,11,157.804378947368,3360.84046321504,358.380952380952,319.0822908,147.978571428571,166.09242406015,69.2214285714286
2015-12-01,2015,12,163.893455,3345.65621942205,354.347826086957,323.315332056818,148.612173913044,164.004401785714,70.3880952380952
2016-01-01,2016,1,164.611626666667,2952.41608727993,359.47619047619,323.204353776316,145.434761904762,161.098876879699,68.75
2016-02-01,2016,2,159.283795,2916.36653380488,373.190476190476,320.12948625,147.697142857143,159.716845357143,66.5714285714286
2016-03-01,2016,3,164.060471666667,3073.5191380389,370.478260869565,326.935421590909,157.631304347826,159.226532142857,65.4571428571429
2016-04-01,2016,4,163.386837777778,3078.49353330323,376.047619047619,353.80246275,154.217619047619,164.465401870748,69.2785714285714
2016-05-01,2016,5,157.560342063492,3098.38858371231,408.818181818182,388.5121365,155.194545454545,169.002119897959,70.2775
