Year,Month,Quarter_climate,Region,avg_temp_C,total_precip_m,avg_dewpoint_C,avg_rel_humidity_pct,temp_anomaly,precip_anomaly,temp_3m_avg,precip_3m_sum,drought_index,heat_stress,Date,Quarter_commodity,Coffee_Price,PMAIZMTUSDM,PWHEAMTUSDM,PSOYBUSDM,PCOTTINDUSDM,PRICENPQUSDM,PCOCOUSDM
2016,12,4,MINAS GERAIS (BRA),22.740213,0.006125683,17.22818,71.333496,-0.3225463750000017,0.0007775837499999997,22.740213,0.018377049,0.033032221250000174,26.306887800000002,2016-12-01,4,161.780909090909,152.729924659864,122.846325555556,375.28877875,79.5025,367.545454545455,2295.30967167581
2017,1,1,COLOMBIA,19.991953,0.00905724,16.368387,79.77558,-0.6140287142857161,0.0010553729047619049,19.792794999999998,0.035744082,0.062458244333333524,23.980732,2017-01-01,1,168.612727272727,160.012106964286,137.145735833333,379.589978775,82.3309523809524,372.545454545455,2193.82674124701
2017,1,1,MINAS GERAIS (BRA),23.497183,0.004252363666666667,17.881796,70.80302,0.33353157142856915,-0.0017856924285714285,22.992536333333334,0.016503729666666665,-0.03513884957142834,27.037334,2017-01-01,1,168.612727272727,160.012106964286,137.145735833333,379.589978775,82.3309523809524,372.545454545455,2193.82674124701
2017,2,1,COLOMBIA,19.991953,0.00905724,16.368387,79.77558,-0.5612366250000029,0.000435277416666666,19.892374,0.031457900999999996,0.05655893991666696,23.980732,2017-02-01,1,166.351,162.962535912698,147.361442105263,380.872623986842,85.155,368.5,2034.08396328063
2017,2,1,MINAS GERAIS (BRA),23.497183,0.004252363666666667,17.881796,70.80302,0.3065065000000011,-0.002108941541666667,23.244859666666667,0.014630410333333333,-0.03275959154166678,27.037334,2017-02-01,1,166.351,162.962535912698,147.361442105263,380.872623986842,85.155,368.5,2034.08396328063
2017,3,1,COLOMBIA,19.991953,0.00905724,16.368387,79.77558,-0.5612366250000029,0.000435277416666666,19.991953,0.027171719999999996,0.05655893991666696,23.980732,2017-03-01,1,160.150434782609,158.979119254658,146.43149942029,366.095056173913,86.7826086956522,367.782608695652,2063.09378081967
2017,3,1,MINAS GERAIS (BRA),23.497183,0.004252363666666667,17.881796,70.80302,0.3065065000000011,-0.002108941541666667,23.497183,0.012757091,-0.03275959154166678,27.037334,2017-03-01,1,160.150434782609,158.979119254658,146.43149942029,366.095056173913,86.7826086956522,367.782608695652,2063.09378081967
2017,4,2,COLOMBIA,20.194479,0.01253597,17.056631,82.20679,0.12269162500000164,-0.001320955875,20.059461666666667,0.030650449999999996,-0.013590118375000165,24.304818500000003,2017-04-01,2,155.574,156.540452067669,138.407590701754,347.861310355263,87.0361111111111,374.5,1961.15730959898
2017,4,2,MINAS GERAIS (BRA),20.521555,0.0010539802333333333,14.581349,68.807304,0.3386862500000021,2.096917916666655e-05,22.505307,0.009558707566666668,-0.033847655820833544,23.9619202,2017-04-01,2,155.574,156.540452067669,138.407590701754,347.861310355263,87.0361111111111,374.5,1961.15730959898
2017,5,2,COLOMBIA,20.194479,0.01253597,17.056631,82.20679,0.12269162500000164,-0.001320955875,20.126970333333333,0.03412918,-0.013590118375000165,24.304818500000003,2017-05-01,2,150.0,158.600219642857,146.440213333333,350.179987261364,88.6380952380952,402.913043478261,1983.48485387547
2017,5,2,MINAS GERAIS (BRA),20.521555,0.0010539802333333333,14.581349,68.807304,0.3386862500000021,2.096917916666655e-05,21.513430999999997,0.006360324133333333,-0.033847655820833544,23.9619202,2017-05-01,2,150.0,158.600219642857,146.440213333333,350.179987261364,88.6380952380952,402.913043478261,1983.48485387547
2017,6,2,COLOMBIA,20.194479,0.01253597,17.056631,82.20679,0.12269162500000164,-0.001320955875,20.194479,0.03760791,-0.013590118375000165,24.304818500000003,2017-06-01,2,143.222727272727,157.973907142857,157.246191666667,339.728909863636,84.7636363636364,444.681818181818,1998.24532343575
2017,6,2,MINAS GERAIS (BRA),20.521555,0.0010539802333333333,14.581349,68.807304,0.3386862500000021,2.096917916666655e-05,20.521555,0.0031619407,-0.033847655820833544,23.9619202,2017-06-01,2,143.222727272727,157.973907142857,157.246191666667,339.728909863636,84.7636363636364,444.681818181818,1998.24532343575
2017,7,3,COLOMBIA,20.275309,0.011422844,15.919261,76.09978,0.17046612499999725,-0.00027031345833333255,20.221422333333333,0.036494784,-0.017316925958333056,24.080298,2017-07-01,3,149.802857142857,157.610645892857,174.532416666667,365.4528402,84.0880952380952,419.952380952381,1988.57753865907
2017,7,3,MINAS GERAIS (BRA),20.006723,0.00031550702,9.279144,50.58668,-0.730229125000001,-0.00025881513375,20.349944333333333,0.002423467486666667,0.0727640973662501,22.536057,2017-07-01,3,149.802857142857,157.610645892857,174.532416666667,365.4528402,84.0880952380952,419.952380952381,1988.57753865907
2017,8,3,COLOMBIA,20.275309,0.011422844,15.919261,76.09978,0.17046612499999725,-0.00027031345833333255,20.24836566666667,0.035381657999999996,-0.017316925958333056,24.080298,2017-08-01,3,149.877391304348,148.543430357143,139.050815072464,345.410749402174,79.3409090909091,405.652173913043,1988.55858478323
2017,8,3,MINAS GERAIS (BRA),20.006723,0.00031550702,9.279144,50.58668,-0.730229125000001,-0.00025881513375,20.178333666666667,0.0016849942733333334,0.0727640973662501,22.536057,2017-08-01,3,149.877391304348,148.543430357143,139.050815072464,345.410749402174,79.3409090909091,405.652173913043,1988.55858478323
2017,9,3,COLOMBIA,20.275309,0.011422844,15.919261,76.09978,0.17046612499999725,-0.00027031345833333255,20.275309,0.034268532,-0.017316925958333056,24.080298,2017-09-01,3,146.560476190476,147.315857857143,138.413392333333,353.86020285,80.6047619047619,413.142857142857,1998.29596544082
2017,9,3,MINAS GERAIS (BRA),20.006723,0.00031550702,9.279144,50.58668,-0.730229125000001,-0.00025881513375,20.006723,0.0009465210600000001,0.0727640973662501,22.536057,2017-09-01,3,146.560476190476,147.315857857143,138.413392333333,353.86020285,80.6047619047619,413.142857142857,1998.29596544082
2017,10,4,COLOMBIA,19.998758,0.010465781,16.534006,80.542625,0.10873337499999991,3.0406208333333407e-05,20.183125333333333,0.033311468999999996,-0.010842931291666658,24.02588925,2017-10-01,4,140.709545454545,148.722376785714,133.344516031746,358.276127522727,78.6045454545454,407.227272727273,2097.05323803964
2017,10,4,MINAS GERAIS (BRA),23.126272,0.004988576,16.577942,67.5159,0.06351262499999777,-0.00035952325000000035,21.046572666666666,0.00561959004,-0.006710785749999778,26.502067,2017-10-01,4,140.709545454545,148.722376785714,133.344516031746,358.276127522727,78.6045454545454,407.227272727273,2097.05323803964
2017,11,4,COLOMBIA,19.998758,0.010465781,16.534006,80.542625,0.10873337499999991,3.0406208333333407e-05,20.090941666666666,0.032354406,-0.010842931291666658,24.02588925,2017-11-01,4,140.904090909091,148.792165892857,138.045955666667,361.4092835,80.4113636363636,404.045454545455,2127.90190237604
2017,11,4,MINAS GERAIS (BRA),23.126272,0.004988576,16.577942,67.5159,0.06351262499999777,-0.00035952325000000035,22.08642233333333,0.010292659019999999,-0.006710785749999778,26.502067,2017-11-01,4,140.904090909091,148.792165892857,138.045955666667,361.4092835,80.4113636363636,404.045454545455,2127.90190237604
2017,12,4,COLOMBIA,19.998758,0.010465781,16.534006,80.542625,0.10873337499999991,3.0406208333333407e-05,19.998758,0.031397343,-0.010842931291666658,24.02588925,2017-12-01,4,137.30619047619,149.0874275,147.1032695,357.1533569625,85.4236842105263,407.952380952381,1917.77560409513
2017,12,4,MINAS GERAIS (BRA),23.126272,0.004988576,16.577942,67.5159,0.06351262499999777,-0.00035952325000000035,23.126272,0.014965728,-0.006710785749999778,26.502067,2017-12-01,4,137.30619047619,149.0874275,147.1032695,357.1533569625,85.4236842105263,407.952380952381,1917.77560409513
